wxn1,wxn2,wxn3,wxn4,wxn5,wxn6,wxn7,wxn8,wxn9,wxn10,wxn11,wxn12,wxn13,y0
1,1,11.76,7.25,52,27,20.703,4.35,19,2,3,1,1,1
1,4,5.81,6.2,34,26,19.031,4.17,12,2,3,1,2,1
1,7,6.18,0.87,14,30,17.93,8.23,11,2,5,2,1,1
1,9,9.91,12.73,57,28,18.553,5.71,21,2,3,1,2,1
1,10,8.01,3.81,20,25,20.812,6.49,21,2,5,2,2,1
1,11,6.74,8.64,24,28,24,3.82,13,2,3,1,4,0
1,12,8.12,8.29,43,29,18.218,4.47,13,1,5,2,1,1
1,13,9.52,1.54,49,31,19.433,6.17,19,2,5,1,1,1
1,14,6.69,6.72,70,27,17.851,2.78,15,2,5,1,1,1
1,15,8.25,6.73,7,26,18.066,2.27,22,2,3,2,1,0
1,16,6.63,3.23,34,24,19.818,2.79,12,2,3,1,4,0
1,17,8.38,4.4,33,27,18.066,2.71,12,2,3,2,1,1
1,19,11.09,6.88,71,28,21.36,2.28,12,2,5,2,1,0
1,20,11.09,6.47,51,25,22.66,3.27,10,1,5,2,1,1
1,21,11.67,2.48,66,31,19.922,6.14,14,1,5,1,3,0
1,22,6.26,2.75,19,30,20.727,3.65,7,1,5,1,1,1
1,23,8.12,3.91,50,28,17.909,1.82,15,1,5,1,6,1
1,24,7.76,3.36,43,30,18.179,2.68,10,2,3,1,4,1
1,25,9.94,4.11,12,31,19.6,4.01,20,2,3,1,1,1
1,26,11.5,10.61,31,28,18.43,4.8,15,1,5,1,3,0
1,28,6.4,4.22,41,33,18.975,5.95,6,2,3,1,1,0
1,29,8.76,2.06,30,31,19.53,6.7,9,2,3,1,1,1
1,30,9.42,6.54,32,28,22.039,2.94,9,1,5,1,1,1
1,31,6.98,4.27,18,32,25.271,3.72,12,2,5,2,1,1
1,34,7.51,5.83,40,34,19.3,7.21,8,1,5,2,4,1
1,35,6.69,3.14,45,26,20.324,5.41,17,2,5,1,1,1
1,37,7.26,2.84,25,33,18.67,5.53,13,2,5,2,1,1
